Question,Réponse,Lien,Catégorie,combined
Quels sont les horaires des cours d’informatique ?,Les horaires sont disponibles sur le portail étudiant. Consultez la section Horaires.,http://iset.example.com/horaires,Horaires,"Quels sont les horaires des cours d’informatique ?
Les horaires sont disponibles sur le portail étudiant. Consultez la section Horaires.
Lien: http://iset.example.com/horaires"
Quand commence le semestre ?,Le semestre commence le 1er septembre. Vérifiez le calendrier universitaire.,http://iset.example.com/calendrier,Horaires,"Quand commence le semestre ?
Le semestre commence le 1er septembre. Vérifiez le calendrier universitaire.
Lien: http://iset.example.com/calendrier"
À quelle heure est le cours d’Algorithmique ?,Le cours d’Algorithmique est prévu le lundi de 8h à 10h. Consultez le portail.,http://iset.example.com/horaires,Horaires,"À quelle heure est le cours d’Algorithmique ?
Le cours d’Algorithmique est prévu le lundi de 8h à 10h. Consultez le portail.
Lien: http://iset.example.com/horaires"
Y a-t-il des cours le samedi ?,Certains cours pratiques ont lieu le samedi. Vérifiez votre emploi du temps.,http://iset.example.com/horaires,Horaires,"Y a-t-il des cours le samedi ?
Certains cours pratiques ont lieu le samedi. Vérifiez votre emploi du temps.
Lien: http://iset.example.com/horaires"
Quel est l’horaire du cours de Python le lundi ?,Le cours de Python est de 10h à 12h en salle A-101. Consultez le portail.,http://iset.example.com/horaires,Horaires,"Quel est l’horaire du cours de Python le lundi ?
Le cours de Python est de 10h à 12h en salle A-101. Consultez le portail.
Lien: http://iset.example.com/horaires"
Où trouver l’emploi du temps de Génie Civil ?,"L’emploi du temps est sur le portail étudiant, section Génie Civil.",http://iset.example.com/horaires,Horaires,"Où trouver l’emploi du temps de Génie Civil ?
L’emploi du temps est sur le portail étudiant, section Génie Civil.
Lien: http://iset.example.com/horaires"
Quand a lieu le cours de Réseaux ?,Le cours de Réseaux est le mercredi de 14h à 16h. Vérifiez le portail.,http://iset.example.com/horaires,Horaires,"Quand a lieu le cours de Réseaux ?
Le cours de Réseaux est le mercredi de 14h à 16h. Vérifiez le portail.
Lien: http://iset.example.com/horaires"
Les cours sont-ils en ligne ou en présentiel ?,"La plupart des cours sont en présentiel, certains en ligne. Consultez le portail.",http://iset.example.com/horaires,Horaires,"Les cours sont-ils en ligne ou en présentiel ?
La plupart des cours sont en présentiel, certains en ligne. Consultez le portail.
Lien: http://iset.example.com/horaires"
Qui enseigne le cours de Programmation Python ?,Le cours est enseigné par le Pr. Dupont. Consultez le programme.,http://iset.example.com/programmes,Professeurs,"Qui enseigne le cours de Programmation Python ?
Le cours est enseigné par le Pr. Dupont. Consultez le programme.
Lien: http://iset.example.com/programmes"
Comment contacter un professeur ?,Les coordonnées des professeurs sont sur le portail enseignant.,http://iset.example.com/enseignants,Professeurs,"Comment contacter un professeur ?
Les coordonnées des professeurs sont sur le portail enseignant.
Lien: http://iset.example.com/enseignants"
